dateSample,depthTop,temp,DOmgL
2015-05-21,0,14.3,9.65
2015-05-21,0.25,NA,NA
2015-05-21,0.5,14.3,9.47
2015-05-21,0.75,NA,NA
2015-05-21,1,14.2,9.51
2015-05-21,1.5,14.1,9.38
2015-05-21,2,14,9.38
2015-05-21,2.5,13.7,9.37
2015-05-21,3,13.5,9.27
2015-05-21,3.5,13.3,9.35
2015-05-21,4,12.9,9.56
2015-05-21,4.5,11.5,11.02
2015-05-21,5,8.5,11.88
2015-05-21,5.5,7.6,10.03
2015-05-21,6,7.3,9.26
2015-05-21,6.5,6.8,7.16
2015-05-21,7,6.6,6.84
2015-05-21,7.5,6.5,6.12
2015-05-21,8,6.3,5.68
2015-05-21,9,6.1,5.13
2015-05-21,10,5.8,4.8
2015-05-21,11,5.7,4.61
2015-06-01,0,17.1,8.53
2015-06-01,0.25,NA,NA
2015-06-01,0.5,17.2,8.44
2015-06-01,0.75,NA,NA
2015-06-01,1,17.2,8.42
2015-06-01,1.5,17.1,8.67
2015-06-01,2,17,8.62
2015-06-01,2.5,17,8.57
2015-06-01,3,16.9,8.58
2015-06-01,3.5,15.4,9.35
2015-06-01,4,14,9.75
2015-06-01,4.5,12.1,11.16
2015-06-01,5,10.3,12.16
2015-06-01,5.5,8.9,12.26
2015-06-01,6,8,10.04
2015-06-01,6.5,7.5,8.39
2015-06-01,7,7.1,7.14
2015-06-01,7.5,6.8,6.04
2015-06-01,8,6.6,5.3
2015-06-01,9,6.3,4.54
2015-06-01,10,6.2,4.04
2015-06-01,11,6,3.91
2015-06-01,12,5.8,3.61
2015-06-01,13,5.8,3.25
2015-06-01,14,5.7,0.4
2015-06-01,15,5.9,0.17
2015-06-01,16,5.9,0.14
2015-06-01,17,5.9,0.13
2015-06-16,0,19.8,7.81
2015-06-16,0.25,NA,NA
2015-06-16,0.5,19.9,8
2015-06-16,0.75,NA,NA
2015-06-16,1,19.9,8
2015-06-16,1.5,19.8,7.8
2015-06-16,2,19.8,7.84
2015-06-16,2.5,19.7,7.81
2015-06-16,3,19.6,7.66
2015-06-16,3.5,18.4,8.25
2015-06-16,4,16.2,9.5
2015-06-16,4.5,13.9,10.65
2015-06-16,5,11.3,12.2
2015-06-16,5.5,10,12.2
2015-06-16,6,8.9,10.7
2015-06-16,6.5,8.3,9.01
2015-06-16,7,7.7,6.43
2015-06-16,7.5,7.1,4.32
2015-06-16,8,6.7,3.24
2015-06-16,9,6.5,2.91
2015-06-16,10,6.3,2.66
2015-06-16,11,6.1,2.66
2015-06-16,12,6,1.31
2015-06-16,13,6,0.85
2015-06-16,14,6.1,0.7
2015-06-16,15,6.1,0.62
2015-06-16,16,6.1,0.51
2015-06-16,17,6.1,0.48
2015-06-16,18,6.1,0.45
2015-06-29,0,22.7,8.05
2015-06-29,0.25,NA,NA
2015-06-29,0.5,22.7,7.89
2015-06-29,0.75,NA,NA
2015-06-29,1,22.7,7.79
2015-06-29,1.5,22.7,7.54
2015-06-29,2,22.7,7.78
2015-06-29,2.5,21.8,7.99
2015-06-29,3,21.1,8.1
2015-06-29,3.5,19.5,8.3
2015-06-29,4,16.8,9.72
2015-06-29,4.5,15.5,10319
2015-06-29,5,12.7,11.33
2015-06-29,5.5,10.5,11.05
2015-06-29,6,9.4,7.57
2015-06-29,6.5,8.6,5.61
2015-06-29,7,8,4.12
2015-06-29,7.5,7.5,3.31
2015-06-29,8,7.1,2.96
2015-06-29,9,6.7,1.9
2015-06-29,10,6.5,1.66
2015-06-29,11,6.3,1.67
2015-06-29,12,6,1.25
2015-06-29,13,5.9,0.51
2015-06-29,14,5.9,0.22
2015-06-29,15,5.9,0.19
2015-06-29,16,6,0.17
2015-06-29,17,6,0.15
2015-06-29,18,6,0.14
2015-07-13,0,23.9,7.81
2015-07-13,0.25,NA,NA
2015-07-13,0.5,24.1,7.2
2015-07-13,0.75,NA,NA
2015-07-13,1,24.2,7.15
2015-07-13,1.5,24.2,7.04
2015-07-13,2,24.1,7.2
2015-07-13,2.5,23.2,7.28
2015-07-13,3,22.4,7.36
2015-07-13,3.5,21.7,7.57
2015-07-13,4,19.8,8.2
2015-07-13,4.5,17.5,9.65
2015-07-13,5,15.3,10.43
2015-07-13,5.5,12.6,10.39
2015-07-13,6,10.6,9.21
2015-07-13,6.5,9,5.23
2015-07-13,7,8.4,4.04
2015-07-13,7.5,8,2.6
2015-07-13,8,7.6,1.7
2015-07-13,9,6.7,0.68
2015-07-13,10,6.4,0.58
2015-07-13,11,6.2,0.38
2015-07-13,12,6.2,0.21
2015-07-13,13,6.1,0.2
2015-07-13,14,6,0.19
2015-07-13,15,6,0.18
2015-07-13,16,6.1,0.15
2015-07-13,17,6.1,0.14
2015-07-13,18,6.1,0.14
2015-07-27,0,25.9,7.1
2015-07-27,0.25,NA,NA
2015-07-27,0.5,25.9,7.05
2015-07-27,0.75,NA,NA
2015-07-27,1,25.7,6.87
2015-07-27,1.5,25.6,6.64
2015-07-27,2,25.3,6.41
2015-07-27,2.5,25.2,6.61
2015-07-27,3,24.8,6.8
2015-07-27,3.5,23.7,6.74
2015-07-27,4,21.9,7.01
2015-07-27,4.5,18.6,9.13
2015-07-27,5,16.2,9.85
2015-07-27,5.5,13.5,9.82
2015-07-27,6,11.8,8.41
2015-07-27,6.5,10.2,6.31
2015-07-27,7,9,3.62
2015-07-27,7.5,8.1,2.19
2015-07-27,8,7.6,1.12
2015-07-27,9,7.1,0.61
2015-07-27,10,6.7,0.44
2015-07-27,11,6.4,0.35
2015-07-27,12,6.1,0.32
2015-07-27,13,6.1,0.29
2015-07-27,14,6,0.26
2015-07-27,15,6.1,0.24
2015-07-27,16,6.2,0.2
2015-07-27,17,6.2,0.19
2015-07-27,18,6.2,18
2015-08-11,0,22,7.81
2015-08-11,0.25,NA,NA
2015-08-11,0.5,22,7.84
2015-08-11,0.75,NA,NA
2015-08-11,1,22,7.88
2015-08-11,1.5,21.8,7.82
2015-08-11,2,21.8,7.86
2015-08-11,2.5,21.8,7.87
2015-08-11,3,21.7,7.7
2015-08-11,3.5,21.6,7.5
2015-08-11,4,21.5,7.35
2015-08-11,4.5,21.2,7.41
2015-08-11,5,18.5,8.4
2015-08-11,5.5,14.5,8.58
2015-08-11,6,12.5,5.55
2015-08-11,6.5,10.7,3.82
2015-08-11,7,9.6,2.19
2015-08-11,7.5,8.6,0.86
2015-08-11,8,7.9,0.45
2015-08-11,9,7,0.29
2015-08-11,10,6.7,0.28
2015-08-11,11,6.4,0.26
