dateSample,depthTop,temp,DOmgL
2015-05-20,0,13,8.83
2015-05-20,0.25,NA,NA
2015-05-20,0.5,13.1,8.73
2015-05-20,0.75,NA,NA
2015-05-20,1,12.9,8.82
2015-05-20,1.5,12.9,8.8
2015-05-20,2,12.1,8.59
2015-05-20,2.5,9.1,5.24
2015-05-20,3,7.8,4.52
2015-05-20,3.5,6.8,4.77
2015-05-20,4,6.4,4.24
2015-05-20,4.5,6.1,3.76
2015-05-20,5,6,3.26
2015-05-20,5.5,5.8,3.42
2015-05-20,6,5.7,3.47
2015-05-20,6.5,5.5,2.42
2015-05-20,7,5.3,1.86
2015-05-20,7.5,5.2,0.74
2015-05-20,8,5.1,0.14
2015-05-20,9,5,0.08
2015-05-20,10,4.9,0.08
2015-05-20,11,4.9,0.07
2015-05-20,12,4.8,0.07
2015-05-20,13,4.8,0.06
2015-05-20,14,4.8,0.06
2015-05-27,0,17.6,7.88
2015-05-27,0.25,NA,NA
2015-05-27,0.5,17.3,7.96
2015-05-27,0.75,NA,NA
2015-05-27,1,17.3,7.83
2015-05-27,1.5,17.2,7.91
2015-05-27,2,13,8.13
2015-05-27,2.5,10.2,5.39
2015-05-27,3,8.3,4.36
2015-05-27,3.5,7.2,4.19
2015-05-27,4,6.5,3.5
2015-05-27,4.5,6.2,3.3
2015-05-27,5,6,3.03
2015-05-27,5.5,5.8,3.07
2015-05-27,6,5.7,2.63
2015-05-27,6.5,5.5,2.14
2015-05-27,7,5.3,0.66
2015-05-27,7.5,5.2,0.34
2015-05-27,8,5.2,0.08
2015-05-27,9,5,0.7
2015-05-27,10,5,0.7
2015-05-14,0,13.5,9.61
2015-05-14,0.25,NA,NA
2015-05-14,0.5,13.5,9.59
2015-05-14,0.75,NA,NA
2015-05-14,1,13.3,9.11
2015-05-14,1.5,13.3,9.47
2015-05-14,2,11.7,9.14
2015-05-14,2.5,8.3,7.6
2015-05-14,3,6.8,6.01
2015-05-14,3.5,6.3,5.75
2015-05-14,4,6.1,5.03
2015-05-14,4.5,6,4.93
2015-05-14,5,5.9,5
2015-05-14,5.5,5.8,5.19
2015-05-14,6,5.7,4.69
2015-05-14,6.5,5.5,3.32
2015-05-14,7,5.2,2.18
2015-05-14,7.5,5.2,1.96
2015-05-14,8,5.1,1.24
2015-05-14,9,4.9,0.08
2015-05-14,10,4.9,0.07
2015-05-14,11,4.8,0.06
2015-05-14,12,4.8,0.06
2015-05-14,13,4.8,0.08
2015-05-14,14,4.8,0.06
2015-06-10,0,20.7,7.28
2015-06-10,0.25,NA,NA
2015-06-10,0.5,20.7,7.12
2015-06-10,0.75,NA,NA
2015-06-10,1,20.6,7.38
2015-06-10,1.5,20.5,7.32
2015-06-10,2,16.1,7.31
2015-06-10,2.5,12.5,4.62
2015-06-10,3,9.7,3.4
2015-06-10,3.5,7.9,3.1
2015-06-10,4,7,2.51
2015-06-10,4.5,6.5,2.13
2015-06-10,5,6.3,2.06
2015-06-10,5.5,6.1,2.05
2015-06-10,6,5.9,1.58
2015-06-10,6.5,5.7,1.3
2015-06-10,7,5.7,1
2015-06-10,7.5,5.6,0.7
2015-06-10,8,5.2,0.09
2015-06-10,9,5.1,0.07
