dateSample,depthTop,temp,DOmgL
2015-05-22,0,14.3,9.2
2015-05-22,0.25,NA,NA
2015-05-22,0.5,14.1,9.27
2015-05-22,0.75,NA,NA
2015-05-22,1,14.1,9.06
2015-05-22,1.5,13.6,8.43
2015-05-22,2,12.8,8.25
2015-05-22,2.5,11.2,6.34
2015-05-22,3,9.4,0.21
2015-05-22,3.5,7.6,0.15
2015-05-22,4,6.6,0.1
2015-05-22,4.5,6.2,0.09
2015-05-22,5,6,0.1
2015-05-22,5.5,5.8,0.09
2015-05-22,6,5.7,0.08
2015-05-22,6.5,5.6,0.08
2015-05-22,7,5.6,0.09
2015-06-04,0,19.2,8.28
2015-06-04,0.25,NA,NA
2015-06-04,0.5,18.9,8.25
2015-06-04,0.75,NA,NA
2015-06-04,1,18.8,8.12
2015-06-04,1.5,17.8,7.31
2015-06-04,2,15.2,6.04
2015-06-04,2.5,12.5,3.68
2015-06-04,3,10.2,0.55
2015-06-04,3.5,8.5,0.28
2015-06-04,4,7.5,0.27
2015-06-04,4.5,6.8,0.23
2015-06-04,5,6.4,0.22
2015-06-04,5.5,6.2,0.2
2015-06-04,6,6,0.2
2015-06-18,0,19.8,8
2015-06-18,0.25,NA,NA
2015-06-18,0.5,19.7,7.47
2015-06-18,0.75,NA,NA
2015-06-18,1,19.7,7.01
2015-06-18,1.5,19,5.52
2015-06-18,2,47.4,2.42
2015-06-18,2.5,12.8,0.58
2015-06-18,3,11.1,0.35
2015-06-18,3.5,8.8,0.31
2015-06-18,4,7.8,0.28
2015-06-18,4.5,7.1,0.26
2015-06-18,5,6.6,0.24
2015-06-18,5.5,6.4,0.23
2015-06-18,6,6.2,0.21
2015-06-18,6.5,6.1,0.21
2015-06-18,7,6,0.21
2015-06-18,7.5,6,0.19
2015-06-18,8,6,0.19
2015-06-18,9,6.1,0.19
2015-06-18,10,6.1,0.19
2015-07-02,0,20.7,7.04
2015-07-02,0.25,NA,NA
2015-07-02,0.5,20.3,6.85
2015-07-02,0.75,NA,NA
2015-07-02,1,19.9,6.93
2015-07-02,1.5,19.2,5.72
2015-07-02,2,17.2,1.28
2015-07-02,2.5,13.3,0.5
2015-07-02,3,11,0.35
2015-07-02,3.5,9.1,0.3
2015-07-02,4,8.1,0.28
2015-07-02,4.5,7.2,0.24
2015-07-02,5,6.9,0.21
2015-07-02,5.5,6.5,0.2
2015-07-02,6,6.4,0.18
2015-07-02,6.5,6.3,0.18
2015-07-02,7,6.3,0.18
2015-07-02,7.5,6.3,0.17
2015-07-02,8,6.3,0.17
2015-07-02,9,6.3,0.17
2015-07-16,0,22.4,6.91
2015-07-16,0.25,NA,NA
2015-07-16,0.5,22.5,6.85
2015-07-16,0.75,NA,NA
2015-07-16,1,22.4,6.63
2015-07-16,1.5,21.4,5
2015-07-16,2,18.1,1.34
2015-07-16,2.5,14.6,0.55
2015-07-16,3,11.5,0.44
2015-07-16,3.5,9.6,0.38
2015-07-16,4,8.6,0.35
2015-07-16,4.5,7.8,0.32
2015-07-16,5,7.2,0.28
2015-07-16,5.5,6.9,0.27
2015-07-16,6,6.7,0.26
2015-07-16,6.5,6.5,0.24
2015-07-16,7,6.5,0.21
2015-07-16,7.5,6.5,0.21
2015-07-16,8,6.6,0.19
2015-07-16,9,6.7,0.18
2015-07-16,10,6.7,0.17
2015-07-30,0,22.7,6.71
2015-07-30,0.25,NA,NA
2015-07-30,0.5,22.7,6.32
2015-07-30,0.75,NA,NA
2015-07-30,1,22.7,6.21
2015-07-30,1.5,22.3,6
2015-07-30,2,20.2,1.61
2015-07-30,2.5,15.3,0.67
2015-07-30,3,12,0.51
2015-07-30,3.5,10,0.45
2015-07-30,4,8.7,0.38
2015-07-30,4.5,7.7,0.35
2015-07-30,5,7.2,0.31
2015-07-30,5.5,7,0.29
2015-07-30,6,6.8,0.26
2015-07-30,6.5,6.7,0.25
2015-07-30,7,6.5,0.22
2015-07-30,7.5,6.5,0.21
2015-07-30,8,6.6,0.2
2015-07-30,9,6.6,0.2
2015-07-30,10,6.6,0.19
2015-07-30,11,6.7,0.18
2015-07-30,12,6.7,0.18
2015-08-13,0,23,7.73
2015-08-13,0.25,NA,NA
2015-08-13,0.5,23,7.74
2015-08-13,0.75,NA,NA
2015-08-13,1,22.8,7.76
2015-08-13,1.5,21.3,5.61
2015-08-13,2,20,2.29
2015-08-13,2.5,17.8,0.44
2015-08-13,3,13.8,0.26
2015-08-13,3.5,10.4,0.3
2015-08-13,4,9.2,0.3
2015-08-13,4.5,8.3,0.3
2015-08-13,5,7.5,0.3
2015-08-13,5.5,7.1,0.29
2015-08-13,6,6.8,0.28
2015-08-13,6.5,6.7,0.27
2015-08-13,7,6.7,0.26
