dateSample,depthTop,temp,DOmgL
2015-05-20,0,13,9.13
2015-05-20,0.25,NA,NA
2015-05-20,0.5,12.9,9.03
2015-05-20,0.75,NA,NA
2015-05-20,1,12.7,8.84
2015-05-20,1.5,12.7,8.85
2015-05-20,2,12.7,8.8
2015-05-20,2.5,12.5,8.5
2015-05-20,3,10.7,10.51
2015-05-20,3.5,8.7,11.24
2015-05-20,4,7.4,10.08
2015-05-20,4.5,6.4,6.28
2015-05-20,5,5.9,2.86
2015-05-20,5.5,5.6,2.13
2015-05-20,6,5.2,1.5
2015-05-20,6.5,5,0.91
2015-05-20,7,4.9,0.14
2015-05-20,7.5,4.9,0.06
2015-05-20,8,4.8,0.08
2015-05-20,9,4.8,0.1
2015-05-20,10,4.8,0.05
2015-05-20,11,4.8,0.05
2015-05-20,12,4.8,0.04
2015-05-20,13,4.8,0.05
2015-05-20,14,4.8,0.05
2015-05-27,0,17.3,8.1
2015-05-27,0.25,NA,NA
2015-05-27,0.5,17.3,8
2015-05-27,0.75,NA,NA
2015-05-27,1,17.1,7.98
2015-05-27,1.5,16.9,7.91
2015-05-27,2,15.2,8.7
2015-05-27,2.5,14,8.93
2015-05-27,3,11.7,10.29
2015-05-27,3.5,9.7,11.06
2015-05-27,4,7.8,8.7
2015-05-27,4.5,6.9,6.05
2015-05-27,5,6.2,3.8
2015-05-27,5.5,5.5,1.52
2015-05-27,6,5.3,0.25
2015-05-27,6.5,5.1,0.09
2015-05-27,7,5,0.09
2015-05-27,7.5,5,0.06
2015-05-27,8,4.9,0.07
2015-05-27,9,4.9,0.06
2015-05-27,10,4.9,0.06
2015-05-14,0,13.6,9.78
2015-05-14,0.25,NA,NA
2015-05-14,0.5,13.6,9.59
2015-05-14,0.75,NA,NA
2015-05-14,1,13.6,9.18
2015-05-14,1.5,13.6,9.42
2015-05-14,2,13.4,9.51
2015-05-14,2.5,12.5,9.84
2015-05-14,3,10.3,11.9
2015-05-14,3.5,7.4,11.77
2015-05-14,4,6.7,9.44
2015-05-14,4.5,6.1,5.56
2015-05-14,5,5.6,3.92
2015-05-14,5.5,5.3,2.76
2015-05-14,6,5.1,1.98
2015-05-14,6.5,4.9,1.19
2015-05-14,7,4.8,0.88
2015-05-14,7.5,4.8,0.56
2015-05-14,8,4.8,0.13
2015-05-14,9,4.8,0.1
2015-05-14,10,4.8,0.07
2015-05-14,11,4.8,0.06
2015-05-14,12,4.8,0.06
2015-05-14,13,4.8,0.06
2015-05-14,14,4.8,0.05
2015-06-10,0,20.3,7.81
2015-06-10,0.25,NA,NA
